accession_number,filing_date,amendment_date,is_amendment,entity_name,jurisdiction_of_incorporation,year_of_incorporation,entity_type,issuer_street1,issuer_street2,issuer_city,issuer_state,issuer_zip,issuer_phone,naics_code,industry_group,total_offering_amount,total_amount_sold,total_remaining,has_non_accredited_investors,total_number_of_investors,minimum_investment,equity_type,debt_type,partnership_interest,securities_other_desc,business_combination,revenue_range,aggregate_net_asset_value_range,rule_506b,rule_506c,rule_504b,section_3c,section_3c1,section_3c7,primary_officer_name,primary_officer_title,related_person_names,broker_dealer_name,broker_dealer_crd,uses_intermediary,offering_sales_commissions,finders_fees,offering_date,termination_date,more_than_one_year
0001234567-24-000071,2024-01-30,,False,The Kite Runner Theatrical LP,IL,2023,Corporation,432 Broadway,Suite 1535,New York,NJ,10492,212-555-3040,711110,Theatrical Production,11007967.88,6120068.84,4887899.04,True,349,50000,True,False,False,,False,$25-100M,,False,False,False,False,False,False,John Doe 71,Managing Member,"John Doe 71, Jane Smith 71",,,False,306003.44,,2023-09-06,,True
0001234567-18-000072,2018-09-27,,True,Dear Evan Hansen LLC,CT,2017,Corporation,485 Broadway,Suite 1346,New York,CT,10170,212-555-5991,711110,Theatrical Production,32580346.79,21190422.79,11389924.0,False,149,500000,True,False,True,,False,$1-5M,,False,False,False,False,False,False,John Doe 72,Managing Member,"John Doe 72, Jane Smith 72",,,False,,423808.46,2018-06-10,,False
0001234567-22-000073,2022-12-20,,False,Harry Potter and the Cursed Child LLC,NJ,2019,Limited Partnership,551 Broadway,,New York,PA,10965,212-555-4946,711110,Theatrical Production,35821478.72,28597863.11,7223615.61,True,442,50000,True,False,True,,False,$5-25M,,True,False,False,False,False,False,John Doe 73,Managing Member,"John Doe 73, Jane Smith 73",,,True,,,2022-09-25,,False
0001234567-22-000074,2022-08-14,,True,Lion King Theatrical LP,CT,2021,Limited Liability Company,769 Broadway,,New York,IL,10827,212-555-7664,711110,Theatrical Production,19755551.38,16711587.08,3043964.3,True,145,25000,False,False,True,,False,$25-100M,,True,False,False,False,False,False,John Doe 74,Managing Member,"John Doe 74, Jane Smith 74",,743821,False,,,2022-06-07,,False
0001234567-10-000075,2010-11-28,,False,Back to the Future Musical LLC,NY,2010,Corporation,626 Broadway,Suite 1974,New York,NJ,10791,212-555-7158,711110,Theatrical Production,2146889.01,1348065.91,798823.1,True,31,1000000,True,False,False,,False,Over $100M,,True,False,False,False,False,False,John Doe 75,Managing Member,"John Doe 75, Jane Smith 75",,,True,67403.3,,2010-10-18,,True
0001234567-22-000076,2022-01-14,,False,Six the Musical LLC,IL,2021,Corporation,72 Broadway,Suite 1157,New York,CA,10407,212-555-6068,711110,Theatrical Production,41282841.85,17893814.23,23389027.62,False,423,25000,True,False,False,,False,$5-25M,,True,True,False,False,False,False,John Doe 76,Managing Member,"John Doe 76, Jane Smith 76",,,False,,,2021-09-01,,False
0001234567-23-000077,2023-08-03,,False,Mean Girls Musical Productions,NJ,2022,Corporation,751 Broadway,,New York,MA,10926,212-555-7958,711110,Theatrical Production,9111095.49,4626079.18,4485016.31,False,69,250000,True,False,True,,False,$5-25M,,False,True,False,False,False,False,John Doe 77,Managing Member,"John Doe 77, Jane Smith 77",Broadway Capital Partners,243447,True,,,2023-02-18,,True
0001234567-14-000078,2014-08-11,,False,Chicago Musical Productions,CA,2013,Limited Liability Company,729 Broadway,Suite 933,New York,NY,10067,212-555-8889,711110,Theatrical Production,640040.73,420823.97,219216.76,False,85,100000,False,False,False,,False,Over $100M,,False,False,False,False,False,False,John Doe 78,Managing Member,"John Doe 78, Jane Smith 78",,,False,21041.2,,2014-06-17,,True
0001234567-23-000079,2023-02-04,,False,Sweeney Todd Productions,NY,2020,Limited Partnership,278 Broadway,,New York,CA,10341,212-555-3003,711110,Theatrical Production,9681945.37,6523239.65,3158705.72,True,275,50000,True,False,True,,False,$25-100M,,False,False,False,False,False,False,John Doe 79,Managing Member,"John Doe 79, Jane Smith 79",Broadway Capital Partners,,False,,,2022-11-28,,True
0001234567-20-000080,2020-04-07,,False,Cabaret Revival LLC,NJ,2017,Corporation,574 Broadway,Suite 1749,New York,PA,10759,212-555-5524,711110,Theatrical Production,110269679.18,110141978.03,127701.15,True,176,250000,False,False,False,,False,$25-100M,,True,True,False,False,False,False,John Doe 80,Managing Member,"John Doe 80, Jane Smith 80",Broadway Capital Partners,,False,,,2019-11-13,,True
0001234567-14-000081,2014-06-25,,False,Hamilton Productions LLC,NJ,2014,Limited Partnership,718 Broadway,Suite 1447,New York,NJ,10717,212-555-7698,711110,Theatrical Production,25633414.48,17719294.5,7914119.98,True,18,500000,True,False,False,,False,$1-5M,,True,False,False,False,False,False,John Doe 81,Managing Member,"John Doe 81, Jane Smith 81",,,True,885964.73,,2014-05-25,,False
0001234567-13-000082,2013-11-18,,False,Book of Mormon LLC,DE,2010,Corporation,659 Broadway,,New York,MA,10413,212-555-1911,711110,Theatrical Production,7754696.45,4357165.36,3397531.09,False,26,250000,True,False,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 82,Managing Member,"John Doe 82, Jane Smith 82",Broadway Capital Partners,,True,,87143.31,2013-10-01,,False
0001234567-11-000083,2011-09-28,,False,Into the Woods Musical LLC,IL,2010,Limited Partnership,419 Broadway,Suite 758,New York,NY,10152,212-555-3880,711110,Theatrical Production,13229085.59,11322680.05,1906405.54,False,18,500000,False,False,True,,False,$1-5M,,True,False,False,False,False,False,John Doe 83,Managing Member,"John Doe 83, Jane Smith 83",,,False,566134.0,,2011-08-23,,True
0001234567-21-000084,2021-04-09,,False,Mrs. Doubtfire Broadway LP,CT,2019,Corporation,343 Broadway,,New York,MA,10687,212-555-8650,711110,Theatrical Production,10251810.54,9578771.62,673038.92,False,498,25000,False,True,False,,False,$5-25M,,False,False,False,False,False,False,John Doe 84,Managing Member,"John Doe 84, Jane Smith 84",,,False,478938.58,,2020-12-31,,False
0001234567-11-000085,2011-04-19,,True,Dear Evan Hansen LLC,CT,2008,Limited Partnership,998 Broadway,,New York,MA,10921,212-555-9848,711110,Theatrical Production,1264926.87,697777.58,567149.29,False,83,1000000,True,True,False,,False,Over $100M,,False,False,False,False,False,False,John Doe 85,Managing Member,"John Doe 85, Jane Smith 85",Broadway Capital Partners,,False,,13955.55,2011-03-12,,True
0001234567-23-000086,2023-05-21,,False,Lion King Theatrical LP,NV,2023,Corporation,922 Broadway,Suite 1775,New York,PA,10595,212-555-1477,711110,Theatrical Production,4108449.54,2810109.58,1298339.96,False,455,100000,True,True,True,,False,Over $100M,,False,True,False,False,False,False,John Doe 86,Managing Member,"John Doe 86, Jane Smith 86",Broadway Capital Partners,,False,,,2023-03-26,,False
0001234567-16-000087,2016-10-31,,False,Life of Pi Broadway LLC,CT,2015,Corporation,367 Broadway,Suite 847,New York,IL,10578,212-555-6651,711110,Theatrical Production,4294849.7,2831192.72,1463656.98,False,114,100000,False,False,False,,False,$1-5M,,False,False,True,False,False,False,John Doe 87,Managing Member,"John Doe 87, Jane Smith 87",Broadway Capital Partners,,False,,56623.85,2016-08-04,,False
0001234567-17-000088,2017-12-16,,False,Wicked Broadway Productions,CA,2015,Corporation,888 Broadway,,New York,NJ,10444,212-555-5730,711110,Theatrical Production,7737439.02,6685939.85,1051499.17,True,84,500000,True,False,True,,False,Over $100M,,True,False,True,False,False,False,John Doe 88,Managing Member,"John Doe 88, Jane Smith 88",,,False,,,2017-07-03,,True
0001234567-23-000089,2023-09-11,,False,Paradise Square Productions,NY,2023,Corporation,82 Broadway,Suite 1383,New York,TX,10885,212-555-5644,711110,Theatrical Production,3520574.05,2901975.32,618598.73,True,405,50000,True,False,False,,False,$5-25M,,True,False,False,False,False,False,John Doe 89,Managing Member,"John Doe 89, Jane Smith 89",,124333,False,,,2023-05-25,,True
0001234567-16-000090,2016-08-09,,False,Phantom of the Opera LLC,NY,2015,Limited Partnership,820 Broadway,,New York,PA,10777,212-555-4651,711110,Theatrical Production,9011481.04,6559521.4,2451959.64,False,103,100000,True,False,False,,False,$1-5M,,True,True,False,False,False,False,John Doe 90,Managing Member,"John Doe 90, Jane Smith 90",Broadway Capital Partners,542381,False,327976.07,131190.43,2016-05-02,,False
0001234567-23-000091,2023-01-11,,False,A Strange Loop LLC,CA,2022,Corporation,201 Broadway,,New York,IL,10826,212-555-3545,711110,Theatrical Production,3323618.51,2748522.82,575095.69,False,275,100000,True,False,False,,False,$1-5M,,True,False,False,False,False,False,John Doe 91,Managing Member,"John Doe 91, Jane Smith 91",Broadway Capital Partners,,False,,,2022-09-22,,True
0001234567-15-000092,2015-12-13,,False,Funny Girl Broadway LP,IL,2015,Corporation,939 Broadway,Suite 1118,New York,NJ,10978,212-555-2704,711110,Theatrical Production,2129803.04,1492900.2,636902.84,False,151,250000,False,True,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 92,Managing Member,"John Doe 92, Jane Smith 92",Broadway Capital Partners,,True,,,2015-06-28,,False
0001234567-24-000093,2024-06-04,,False,Chicago Musical Productions,NV,2022,Limited Liability Company,116 Broadway,Suite 514,New York,CT,10575,212-555-7422,711110,Theatrical Production,4921818.03,4837516.93,84301.1,False,122,50000,True,False,False,,False,$25-100M,,True,True,False,False,False,False,John Doe 93,Managing Member,"John Doe 93, Jane Smith 93",,,True,,,2024-02-25,,True
0001234567-11-000094,2011-08-19,,False,Come From Away Productions,NY,2009,Corporation,321 Broadway,Suite 204,New York,CA,10051,212-555-7514,711110,Theatrical Production,9707698.73,8709880.29,997818.44,False,98,1000000,True,False,False,,False,$5-25M,,True,False,False,False,False,False,John Doe 94,Managing Member,"John Doe 94, Jane Smith 94",,598654,False,435494.01,174197.61,2011-07-15,,False
0001234567-23-000095,2023-03-12,,False,MJ the Musical Productions,DE,2022,Limited Liability Company,12 Broadway,,New York,PA,10260,212-555-3904,711110,Theatrical Production,2832427.65,1802307.53,1030120.12,False,176,25000,True,True,True,,False,$1-5M,,True,True,False,False,False,False,John Doe 95,Managing Member,"John Doe 95, Jane Smith 95",Broadway Capital Partners,,False,,,2022-11-27,,False
0001234567-24-000096,2024-12-01,,False,Chicago Musical Productions,CA,2023,Corporation,272 Broadway,Suite 1541,New York,TX,10316,212-555-6808,711110,Theatrical Production,29125698.9,23445221.38,5680477.52,False,308,25000,True,False,True,,False,$1-5M,,True,False,False,False,False,False,John Doe 96,Managing Member,"John Doe 96, Jane Smith 96",,564250,False,,,2024-06-10,,True
0001234567-20-000097,2020-11-13,,True,Spring Awakening Productions,CA,2019,Limited Liability Company,964 Broadway,Suite 1514,New York,CA,10986,212-555-4648,711110,Theatrical Production,3244524.6,2224363.79,1020160.81,False,303,250000,False,False,False,,False,$5-25M,,True,True,False,False,False,False,John Doe 97,Managing Member,"John Doe 97, Jane Smith 97",Broadway Capital Partners,481204,True,111218.19,,2020-06-07,,False
0001234567-14-000098,2014-12-25,,True,Into the Woods Musical LLC,NJ,2014,Limited Partnership,806 Broadway,,New York,PA,10616,212-555-7252,711110,Theatrical Production,706739.05,321163.94,385575.11,False,28,100000,True,False,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 98,Managing Member,"John Doe 98, Jane Smith 98",,,True,16058.2,,2014-10-28,,True
0001234567-20-000099,2020-06-29,,False,Cabaret Revival LLC,NY,2019,Limited Liability Company,490 Broadway,Suite 1126,New York,PA,10500,212-555-7284,711110,Theatrical Production,4302946.09,4258698.83,44247.26,False,123,100000,False,False,True,,False,$25-100M,,True,False,False,False,False,False,John Doe 99,Managing Member,"John Doe 99, Jane Smith 99",,395096,False,,,2020-03-17,,False
0001234567-19-000100,2019-12-03,,False,Some Like It Hot Broadway LLC,DE,2018,Limited Liability Company,292 Broadway,,New York,TX,10632,212-555-5995,711110,Theatrical Production,3992943.08,2851325.16,1141617.92,False,82,50000,True,False,True,,False,Over $100M,,True,True,False,False,False,False,John Doe 100,Managing Member,"John Doe 100, Jane Smith 100",,,False,142566.26,,2019-10-02,,False
0001234567-15-000101,2015-05-20,,False,A Strange Loop LLC,IL,2012,Limited Partnership,186 Broadway,Suite 1864,New York,MA,10231,212-555-6006,711110,Theatrical Production,7004431.15,6081395.87,923035.28,True,66,250000,True,False,False,,False,$5-25M,,True,False,False,False,False,False,John Doe 101,Managing Member,"John Doe 101, Jane Smith 101",Broadway Capital Partners,,False,,121627.92,2015-02-20,,True
0001234567-21-000102,2021-10-17,,False,Book of Mormon LLC,DE,2020,Limited Liability Company,691 Broadway,,New York,PA,10191,212-555-8372,711110,Theatrical Production,5786632.73,3772480.23,2014152.5,True,316,100000,False,False,True,,False,$5-25M,,True,True,False,False,False,False,John Doe 102,Managing Member,"John Doe 102, Jane Smith 102",,,True,,,2021-07-27,,False
0001234567-12-000103,2012-01-15,,False,Hamilton Productions LLC,CA,2010,Corporation,536 Broadway,,New York,MA,10224,212-555-8279,711110,Theatrical Production,10032318.71,7066483.38,2965835.33,True,81,100000,False,False,False,,False,$1-5M,,True,False,False,False,False,False,John Doe 103,Managing Member,"John Doe 103, Jane Smith 103",,,False,,,2011-10-15,,False
0001234567-18-000104,2018-11-18,,True,A Strange Loop LLC,IL,2017,Corporation,229 Broadway,,New York,MA,10305,212-555-5302,711110,Theatrical Production,31669316.4,13908627.39,17760689.01,False,122,50000,True,False,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 104,Managing Member,"John Doe 104, Jane Smith 104",,,False,,,2018-08-29,,False
0001234567-10-000105,2010-07-09,,False,Frozen Broadway LLC,CT,2007,Corporation,661 Broadway,,New York,MA,10347,212-555-1322,711110,Theatrical Production,30635035.46,15304842.08,15330193.38,False,63,500000,True,False,False,,False,$25-100M,,True,False,True,False,False,False,John Doe 105,Managing Member,"John Doe 105, Jane Smith 105",,,True,,,2010-01-31,,True
0001234567-21-000106,2021-07-13,,False,Come From Away Productions,CT,2019,Limited Partnership,451 Broadway,,New York,NJ,10265,212-555-9947,711110,Theatrical Production,26049778.45,25626939.12,422839.33,True,90,25000,False,False,False,,False,$25-100M,,False,True,False,False,False,False,John Doe 106,Managing Member,"John Doe 106, Jane Smith 106",,,False,,,2021-03-04,,False
0001234567-23-000107,2023-08-03,,False,Wicked Broadway Productions,CA,2020,Corporation,514 Broadway,Suite 1310,New York,MA,10552,212-555-1795,711110,Theatrical Production,4756428.12,4489029.79,267398.33,False,319,50000,False,False,True,,False,Over $100M,,False,False,False,False,False,False,John Doe 107,Managing Member,"John Doe 107, Jane Smith 107",,,False,,,2023-05-06,,False
0001234567-19-000108,2019-09-24,,False,Life of Pi Broadway LLC,DE,2019,Corporation,458 Broadway,,New York,PA,10457,212-555-3530,711110,Theatrical Production,3290899.65,1660427.21,1630472.44,False,50,100000,True,False,True,,False,$5-25M,,True,True,False,False,False,False,John Doe 108,Managing Member,"John Doe 108, Jane Smith 108",,,False,,,2019-05-29,,False
0001234567-20-000109,2020-09-04,,False,Harry Potter and the Cursed Child LLC,CA,2020,Limited Partnership,876 Broadway,,New York,NY,10745,212-555-6777,711110,Theatrical Production,28064305.83,23784126.57,4280179.26,False,298,250000,False,False,False,,False,$25-100M,,False,False,False,False,False,False,John Doe 109,Managing Member,"John Doe 109, Jane Smith 109",Broadway Capital Partners,,False,1189206.33,,2020-05-05,,False
0001234567-24-000110,2024-10-20,,False,Waitress Musical Productions,CT,2023,Limited Liability Company,539 Broadway,Suite 1664,New York,TX,10669,212-555-3779,711110,Theatrical Production,24448184.44,21181503.63,3266680.81,True,148,50000,True,False,False,,False,$1-5M,,False,False,False,False,False,False,John Doe 110,Managing Member,"John Doe 110, Jane Smith 110",,330037,False,,,2024-07-14,,True
0001234567-13-000111,2013-09-19,,False,Six the Musical LLC,NJ,2011,Limited Partnership,395 Broadway,,New York,CT,10798,212-555-4440,711110,Theatrical Production,6289371.39,4921644.54,1367726.85,False,78,100000,True,False,True,,False,Over $100M,,True,False,False,False,False,False,John Doe 111,Managing Member,"John Doe 111, Jane Smith 111",,,True,,,2013-05-31,,True
0001234567-19-000112,2019-01-03,,False,Funny Girl Broadway LP,NY,2018,Limited Liability Company,700 Broadway,,New York,IL,10226,212-555-7959,711110,Theatrical Production,6097154.79,5247145.53,850009.26,False,34,500000,True,False,False,,False,Over $100M,,False,False,False,False,False,False,John Doe 112,Managing Member,"John Doe 112, Jane Smith 112",Broadway Capital Partners,,False,,104942.91,2018-08-07,,False
0001234567-16-000113,2016-03-01,,False,Hamilton Productions LLC,CA,2013,Limited Partnership,144 Broadway,,New York,CA,10829,212-555-1934,711110,Theatrical Production,14570541.96,13738950.6,831591.36,False,183,500000,True,False,False,,False,$1-5M,,False,False,False,False,False,False,John Doe 113,Managing Member,"John Doe 113, Jane Smith 113",,,False,686947.53,,2015-12-12,,False
0001234567-14-000114,2014-01-11,,False,Frozen Broadway LLC,NV,2011,Corporation,158 Broadway,,New York,CT,10657,212-555-4329,711110,Theatrical Production,2274335.15,1463762.81,810572.34,False,53,1000000,False,True,False,,False,Over $100M,,False,True,False,False,False,False,John Doe 114,Managing Member,"John Doe 114, Jane Smith 114",Broadway Capital Partners,529393,True,,,2013-08-18,,False
0001234567-23-000115,2023-02-07,,False,Come From Away Productions,DE,2021,Limited Partnership,230 Broadway,,New York,CT,10969,212-555-4416,711110,Theatrical Production,22792535.19,20210872.48,2581662.71,True,108,100000,True,False,False,,False,Over $100M,,True,False,False,False,False,False,John Doe 115,Managing Member,"John Doe 115, Jane Smith 115",,,False,,404217.45,2022-08-20,,True
0001234567-20-000116,2020-03-28,,False,Mean Girls Musical Productions,DE,2017,Limited Liability Company,472 Broadway,,New York,MA,10946,212-555-9520,711110,Theatrical Production,37837111.97,25877180.99,11959930.98,False,305,100000,False,False,True,,False,$25-100M,,True,True,False,False,False,False,John Doe 116,Managing Member,"John Doe 116, Jane Smith 116",Broadway Capital Partners,,True,,,2019-11-27,,False
0001234567-16-000117,2016-03-26,,False,Harry Potter and the Cursed Child LLC,NY,2013,Limited Liability Company,254 Broadway,Suite 1570,New York,TX,10278,212-555-8322,711110,Theatrical Production,2544598.03,2458855.02,85743.01,False,56,50000,True,False,False,,False,$25-100M,,False,False,False,False,False,False,John Doe 117,Managing Member,"John Doe 117, Jane Smith 117",,487766,False,,,2015-12-22,,True
0001234567-10-000118,2010-05-30,,False,Lion King Theatrical LP,IL,2007,Limited Partnership,823 Broadway,Suite 299,New York,NJ,10008,212-555-7321,711110,Theatrical Production,6363956.73,3299022.16,3064934.57,True,92,500000,True,False,True,,False,$25-100M,,True,False,False,False,False,False,John Doe 118,Managing Member,"John Doe 118, Jane Smith 118",,,False,,,2010-02-24,,False
0001234567-11-000119,2011-07-31,,False,Company Broadway Productions,NV,2010,Corporation,414 Broadway,Suite 1379,New York,PA,10321,212-555-7234,711110,Theatrical Production,998335.33,501502.51,496832.82,True,98,1000000,True,False,False,,False,Over $100M,,False,False,False,False,False,False,John Doe 119,Managing Member,"John Doe 119, Jane Smith 119",Broadway Capital Partners,,False,,,2011-06-20,,False
0001234567-20-000120,2020-05-09,,False,Paradise Square Productions,NJ,2018,Limited Liability Company,5 Broadway,,New York,CA,10760,212-555-5949,711110,Theatrical Production,3679918.47,3315241.2,364677.27,False,452,50000,False,True,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 120,Managing Member,"John Doe 120, Jane Smith 120",,,True,,,2019-11-14,,True
0001234567-12-000121,2012-01-03,,False,& Juliet Musical Productions,CA,2010,Limited Liability Company,722 Broadway,Suite 1118,New York,NY,10093,212-555-8174,711110,Theatrical Production,7258180.27,5808308.34,1449871.93,False,97,250000,False,False,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 121,Managing Member,"John Doe 121, Jane Smith 121",,,True,,,2011-09-09,,False
0001234567-22-000122,2022-06-27,,False,Les Misérables Broadway Productions,CT,2022,Corporation,384 Broadway,,New York,IL,10907,212-555-1398,711110,Theatrical Production,4178008.42,2526974.92,1651033.5,False,192,50000,False,False,False,,False,Over $100M,,False,False,False,False,False,False,John Doe 122,Managing Member,"John Doe 122, Jane Smith 122",,,False,,,2022-03-20,,False
0001234567-18-000123,2018-02-12,,False,Jersey Boys Productions,CT,2015,Limited Partnership,342 Broadway,Suite 628,New York,TX,10917,212-555-6816,711110,Theatrical Production,3170499.53,2227985.42,942514.11,True,135,250000,True,False,False,,False,$25-100M,,True,True,False,False,False,False,John Doe 123,Managing Member,"John Doe 123, Jane Smith 123",,629035,False,,,2017-11-16,,False
0001234567-14-000124,2014-06-04,,False,Mrs. Doubtfire Broadway LP,IL,2014,Limited Liability Company,288 Broadway,,New York,PA,10281,212-555-6870,711110,Theatrical Production,3615597.48,1529649.67,2085947.81,False,42,1000000,True,False,True,,False,Over $100M,,True,False,False,False,False,False,John Doe 124,Managing Member,"John Doe 124, Jane Smith 124",,,False,76482.48,,2014-05-04,,True
0001234567-19-000125,2019-10-17,,True,Into the Woods Musical LLC,CA,2016,Limited Partnership,495 Broadway,Suite 516,New York,IL,10772,212-555-5451,711110,Theatrical Production,13498712.74,6809951.94,6688760.8,True,185,100000,True,True,True,,False,$1-5M,,True,True,False,False,False,False,John Doe 125,Managing Member,"John Doe 125, Jane Smith 125",,,False,,,2019-08-01,,True
0001234567-21-000126,2021-03-05,,False,Funny Girl Broadway LP,DE,2020,Limited Partnership,212 Broadway,Suite 897,New York,TX,10363,212-555-5515,711110,Theatrical Production,4215352.07,2497649.13,1717702.94,False,385,50000,False,False,False,,False,$1-5M,,False,False,False,False,False,False,John Doe 126,Managing Member,"John Doe 126, Jane Smith 126",,,True,,,2021-01-30,,True
0001234567-19-000127,2019-06-02,,False,Life of Pi Broadway LLC,CA,2016,Limited Partnership,607 Broadway,,New York,MA,10219,212-555-9904,711110,Theatrical Production,3675660.11,3264385.07,411275.04,False,161,50000,True,False,True,,False,$25-100M,,False,False,False,False,False,False,John Doe 127,Managing Member,"John Doe 127, Jane Smith 127",Broadway Capital Partners,680684,False,,,2019-03-27,,False
0001234567-21-000128,2021-05-27,,False,Life of Pi Broadway LLC,DE,2018,Limited Liability Company,436 Broadway,,New York,NY,10849,212-555-8775,711110,Theatrical Production,43935146.87,42239960.91,1695185.96,True,228,25000,True,False,True,,False,$1-5M,,True,False,False,False,False,False,John Doe 128,Managing Member,"John Doe 128, Jane Smith 128",,,False,,,2021-04-27,,False
0001234567-17-000129,2017-05-15,,False,Kinky Boots Broadway LLC,IL,2016,Corporation,647 Broadway,,New York,IL,10125,212-555-4660,711110,Theatrical Production,9164022.88,7342453.51,1821569.37,True,191,100000,True,False,False,,False,Over $100M,,True,True,False,False,False,False,John Doe 129,Managing Member,"John Doe 129, Jane Smith 129",,,False,367122.68,146849.07,2017-02-26,,False
0001234567-20-000130,2020-02-21,,True,Paradise Square Productions,NY,2017,Limited Partnership,307 Broadway,,New York,NY,10149,212-555-8775,711110,Theatrical Production,12829125.7,11549566.11,1279559.59,False,371,250000,False,False,False,,False,$5-25M,,False,True,False,False,False,False,John Doe 130,Managing Member,"John Doe 130, Jane Smith 130",,,False,,,2019-10-06,,True
0001234567-19-000131,2019-08-11,,True,Cabaret Revival LLC,NV,2018,Limited Partnership,996 Broadway,,New York,MA,10415,212-555-5576,711110,Theatrical Production,1766931.61,962094.36,804837.25,False,125,100000,False,False,False,,False,Over $100M,,True,True,False,False,False,False,John Doe 131,Managing Member,"John Doe 131, Jane Smith 131",,660237,False,,,2019-05-24,,False
0001234567-13-000132,2013-09-03,,False,Paradise Square Productions,NV,2011,Corporation,88 Broadway,,New York,IL,10145,212-555-1299,711110,Theatrical Production,887733.36,389731.47,498001.89,False,20,1000000,True,False,False,,False,$1-5M,,False,True,False,False,False,False,John Doe 132,Managing Member,"John Doe 132, Jane Smith 132",,392614,False,19486.57,,2013-07-14,,False
0001234567-22-000133,2022-11-22,,False,Into the Woods Musical LLC,CA,2020,Limited Partnership,603 Broadway,,New York,TX,10932,212-555-8752,711110,Theatrical Production,28735748.72,18233549.57,10502199.15,True,358,25000,True,False,True,,False,$25-100M,,False,True,False,False,False,False,John Doe 133,Managing Member,"John Doe 133, Jane Smith 133",Broadway Capital Partners,,False,,,2022-09-12,,False
0001234567-10-000134,2010-06-02,,False,Waitress Musical Productions,CT,2010,Limited Liability Company,252 Broadway,,New York,PA,10791,212-555-3884,711110,Theatrical Production,18421913.04,9959813.79,8462099.25,False,29,500000,True,False,True,,False,$1-5M,,True,False,False,False,False,False,John Doe 134,Managing Member,"John Doe 134, Jane Smith 134",,255234,False,497990.69,,2010-01-26,,False
0001234567-19-000135,2019-10-21,,False,Spring Awakening Productions,NY,2018,Limited Partnership,196 Broadway,Suite 1875,New York,CT,10372,212-555-7055,711110,Theatrical Production,38011464.76,29589548.73,8421916.03,False,51,100000,True,False,False,,False,$1-5M,,False,False,False,False,False,False,John Doe 135,Managing Member,"John Doe 135, Jane Smith 135",Broadway Capital Partners,448393,False,,,2019-09-08,,False
0001234567-13-000136,2013-09-17,,False,Book of Mormon LLC,NV,2011,Corporation,675 Broadway,Suite 1733,New York,MA,10876,212-555-4623,711110,Theatrical Production,2123605.68,1821887.26,301718.42,False,42,100000,True,False,False,,False,$1-5M,,True,False,False,False,False,False,John Doe 136,Managing Member,"John Doe 136, Jane Smith 136",Broadway Capital Partners,,True,,,2013-07-19,,False
0001234567-24-000137,2024-12-08,,False,Dear Evan Hansen LLC,NJ,2024,Limited Partnership,461 Broadway,,New York,NY,10004,212-555-7889,711110,Theatrical Production,4694000.26,2195186.33,2498813.93,False,72,250000,True,False,False,,False,Over $100M,,True,False,False,False,False,False,John Doe 137,Managing Member,"John Doe 137, Jane Smith 137",,851276,True,,43903.73,2024-10-13,,True
0001234567-23-000138,2023-01-17,,False,& Juliet Musical Productions,CT,2023,Limited Liability Company,218 Broadway,Suite 1123,New York,CA,10427,212-555-9691,711110,Theatrical Production,2307377.54,1729102.3,578275.24,False,305,50000,True,False,False,,False,$1-5M,,True,True,False,False,False,False,John Doe 138,Managing Member,"John Doe 138, Jane Smith 138",Broadway Capital Partners,,False,,,2022-09-01,,False
0001234567-18-000139,2018-06-10,,False,Book of Mormon LLC,NY,2016,Limited Partnership,911 Broadway,Suite 1866,New York,IL,10636,212-555-8885,711110,Theatrical Production,5713929.27,4421089.4,1292839.87,False,100,50000,False,False,True,,False,Over $100M,,False,False,False,False,False,False,John Doe 139,Managing Member,"John Doe 139, Jane Smith 139",,,False,,,2018-04-04,,True
0001234567-20-000140,2020-01-19,,True,Phantom of the Opera LLC,NY,2017,Corporation,551 Broadway,,New York,TX,10130,212-555-4409,711110,Theatrical Production,20568452.38,13396773.16,7171679.22,True,358,100000,False,False,False,,False,$5-25M,,True,True,False,False,False,False,John Doe 140,Managing Member,"John Doe 140, Jane Smith 140",Broadway Capital Partners,586922,False,669838.66,,2019-12-11,,False
0001234567-10-000141,2010-02-15,,True,Company Broadway Productions,NJ,2007,Limited Partnership,931 Broadway,,New York,MA,10219,212-555-1008,711110,Theatrical Production,70270541.88,54660830.47,15609711.41,False,78,500000,True,False,False,,False,$5-25M,,True,False,False,False,False,False,John Doe 141,Managing Member,"John Doe 141, Jane Smith 141",Broadway Capital Partners,,True,,,2009-10-20,,False
0001234567-17-000142,2017-01-25,,False,Ohio State Murders LLC,NV,2014,Corporation,50 Broadway,Suite 1928,New York,NY,10029,212-555-7773,711110,Theatrical Production,6507800.2,5106071.55,1401728.65,False,168,500000,False,False,True,,False,$25-100M,,True,True,False,False,False,False,John Doe 142,Managing Member,"John Doe 142, Jane Smith 142",,,False,255303.58,,2016-11-09,,False
